"","PageTitle","Entrances","Bounce.Rate","X..Exit","AvgTimeonPage","PageViews","UniquePageViews"
"1","City and County of San Francisco",2593324,80.88,74.98,"3M 35S",3364231,2807560
"2","City and County of San Francisco : Employee Gateway",469758,60.27,60.69,"8M 46S",773329,470482
"3","Property Tax Payments | Treasurer & Tax Collector",200758,52.04,43.81,"2M 46S",716113,443887
"4","Controller : CCSF ePayroll – Online Paystubs",388054,90.46,58.2,"3M 43S",670127,393553
"5","Treasurer & Tax Collector",345770,13.18,16.53,"40S",610008,430768
"6","Controller : CCSF ePayroll",314902,89.3,59.36,"3M 41S",532819,320488
"7","San Francisco Department of Human Resources : Home",358323,49.32,44.11,"1M 25S",508740,413464
"8","San Francisco Department of Human Resources : Classification and Compensation Database",133312,56.18,38.84,"2M 7S",482470,229315
"9","Department of Building Inspection",221837,48.55,46.22,"2M 0S",306359,242447
"10","San Francisco Department of Human Resources : Job Seekers",190567,53.12,47.67,"1M 26S",292018,235335
"11","Business Registration Renewal | Treasurer & Tax Collector",85226,50.39,42.11,"3M 31S",280888,166703
"12","San Francisco Department of Human Resources : Eligible List Postings",105487,66.9,50.49,"2M 28S",279957,211400
"13","Board of Supervisors : Home",142213,39.11,32.65,"1M 15S",230486,156311
"14","San Francisco Police Department : Home",146635,49.53,43.98,"57S",211583,175261
"15","San Francisco Rent Board : Home",121201,39.96,34.03,"1M 37S",203756,139381
"16","Mayor's Office of Housing and Community Development : Home",115103,50.64,42.82,"1M 35S",166035,129977
"17","Mayor's Office of Housing and Community Development : Current Listings: Below Market Rate Ownership Units",80176,57.92,41.75,"1M 56S",164992,109839
"18","City and County of San Francisco : Pet Details Page",9246,65.92,19.12,"40S",164432,149376
"19","Department of Public Works",90257,79.69,58.8,"2M 54S",163164,115491
"20","San Francisco Port Department : Home",58424,6.34,22.88,"23S",152025,65887
"21","Employee Gateway | San Francisco",83230,62.47,60.84,"8M 41S",139586,86654
"22","City and County of San Francisco : Minimum Wage Ordinance (MWO)",113437,90.58,86.59,"4M 26S",130716,119219
"23","Mayor's Office of Housing and Community Development : Below Market Rate (BMR) Affordable Rental Units Available",60796,62.38,44.7,"1M 52S",129540,86916
"24","San Francisco Rent Board : Landlord & Tenant Information",27833,48.1,17.84,"40S",122206,56680
"25","Doing Business in San Francisco | Treasurer & Tax Collector",22069,30.53,20.93,"1M 5S",117753,76259
"26","City and County of San Francisco : Adoption Center",35580,12.36,13.44,"21S",117425,78418
"27","San Francisco 311 : SF311",86422,45,41.54,"55S",117379,98041
"28","San Francisco Department of Human Resources : Search",30709,55.54,33.21,"1M 28S",114824,104795
"29","City and County of San Francisco : Elections Home",74956,55.33,50.57,"2M 13S",113826,83730
"30","File Online: Gross Receipts & Payroll Expense Tax | Treasurer & Tax Collector",15143,46.03,39.59,"4M 54S",112300,64311
"31","Search | Treasurer & Tax Collector",2185,46.27,9.67,"36S",112021,92259
"32","Online Property Tax Payment - FAQ | Treasurer & Tax Collector",38883,54.87,46.61,"2M 16S",108975,84719
"33","City and County of San Francisco : Marriage: Civil Ceremony",59257,46.79,37.24,"1M 55S",108099,80147
"34","San Francisco Department of Human Resources : Employee Benefits",83426,75.74,71.69,"3M 30S",107176,92751
"35","City and County of San Francisco : Dogs - Adoption Center",14827,44.03,24.4,"43S",106603,59244
"36","San Francisco Port Department : 2015 Cruise Schedule",43658,20.9,41.21,"40S",105478,52857
"37","Permit Services | Department of Building Inspection",53446,47.8,45.86,"1M 35S",104511,79758
"38","City and County of San Francisco : Online Reservations",45268,69.96,65.77,"4M 12S",102732,88400
"39","Property Taxes | Treasurer & Tax Collector",21401,8.3,6.08,"20S",102337,76418
"40","San Francisco Department of Human Resources : Eligible Lists Archive",29984,72.13,61.39,"3M 39S",101834,83229
"41","Gross Receipts Tax and Business Registration Fees Ordinance | Treasurer & Tax Collector",18373,23.45,12.49,"1M 5S",100303,56946
"42","San Francisco Public Works : Home",72205,52.71,47.48,"1M 2S",98986,84257
"43","New Business Registration | Treasurer & Tax Collector",42372,43.87,40.42,"2M 46S",97550,63061
"44","City and County of San Francisco : Contact Us",21587,71.53,48.19,"1M 50S",97239,78295
"45","San Francisco Fire Department : Home",63652,44.47,39.28,"58S",97105,75539
"46","City and County of San Francisco : Marriage: General Information",47468,57.65,49.81,"3M 18S",93441,80923
"47","City and County of San Francisco : Animal Care & Control",66124,21.99,26.71,"46S",92890,71081
"48","Business Registration | Treasurer & Tax Collector",37148,49.65,40.4,"2M 40S",91848,63970
"49","City and County of San Francisco : Marriage",10939,14.99,5.82,"18S",90040,48574
"50","Board of Supervisors : Meeting Information",23566,61.5,35.29,"1M 28S",89997,48572
"51","City and County of San Francisco : County Clerk",56444,16.84,20.42,"34S",89493,66434
"52","Office of the Mayor : Home",64142,55.97,51.04,"1M 10S",89003,73120
"53","San Francisco Department of Human Resources : Classification and Compensation",19719,47.3,22.17,"49S",85822,69127
"54","Mayor's Office of Housing and Community Development : Affordable Housing Developments in San Francisco",41681,65.87,52.52,"2M 44S",82414,59358
"55","2015 Quarterly Filing | Treasurer & Tax Collector",6920,40.79,46.55,"4M 37S",82146,53913
"56","Instant Online Permit | Department of Building Inspection",28829,49.91,50.43,"3M 51S",81255,54655
"57","Employee Gateway | SFGOV",46263,23.12,59.43,"10M 15S",78978,47763
"58","San Francisco Police Department : Contact Us",41259,78.83,67.56,"2M 16S",78084,66787
"59","City and County of San Francisco : City Hall",55360,38.07,40.15,"55S",77306,57859
"60","City and County of San Francisco : Marriage Information",11183,14.07,6.07,"19S",77219,40511
"61","San Francisco District Attorney : Home",49960,57.51,51.07,"3M 2S",76479,56150
"62","City and County of San Francisco : Search",4723,67.3,25.83,"59S",74886,69063
"63","Controller : Home",53597,62.95,54.82,"1M 15S",74625,62061
"64","Mayor's Office of Housing and Community Development : Renters",31599,54.42,39.94,"1M 34S",73675,52859
"65","San Francisco Public Works : Permits",17941,14.5,26.67,"38S",73582,30669
"66","San Francisco Port Department : Cruises",26074,13.27,30.03,"26S",73241,31898
"67","San Francisco Police Department : Reports",43373,43,37.17,"1M 2S",72661,60092
"68","San Francisco Public Works : Standard Specifications & Plans",14671,5.92,20.94,"38S",70571,33380
"69","City and County of San Francisco : Health Care Security Ordinance (HCSO)",41051,47.91,41.2,"2M 24S",70520,50768
"70","Search | Department of Building Inspection",1738,37.38,13.61,"41S",68993,57513
"71","San Francisco Public Works : Street Sweeping",33609,43.15,45.31,"36S",67201,39344
"72","City and County of San Francisco : Cats - Adoption Center",7005,40.39,15.66,"43S",65844,25409
