Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
City and County of San Francisco,"3,364,231","2,807,560",0:03:35,"2,593,324",80.88,74.98
City and County of San Francisco : Employee Gateway,"773,329","470,482",0:08:46,"469,758",60.27,60.69
Property Tax Payments | Treasurer & Tax Collector,"716,113","443,887",0:02:46,"200,758",52.04,43.81
Controller : CCSF ePayroll – Online Paystubs,"670,127","393,553",0:03:43,"388,054",90.46,58.2
Treasurer & Tax Collector,"610,008","430,768",0:00:40,"345,770",13.18,16.53
Controller : CCSF ePayroll,"532,819","320,488",0:03:41,"314,902",89.3,59.36
San Francisco Department of Human Resources : Home,"508,740","413,464",0:01:25,"358,323",49.32,44.11
San Francisco Department of Human Resources : Classification and Compensation Database,"482,470","229,315",0:02:07,"133,312",56.18,38.84
Department of Building Inspection,"306,359","242,447",0:02:00,"221,837",48.55,46.22
San Francisco Department of Human Resources : Job Seekers,"292,018","235,335",0:01:26,"190,567",53.12,47.67
Business Registration Renewal | Treasurer & Tax Collector,"280,888","166,703",0:03:31,"85,226",50.39,42.11
San Francisco Department of Human Resources : Eligible List Postings,"279,957","211,400",0:02:28,"105,487",66.9,50.49
Board of Supervisors : Home,"230,486","156,311",0:01:15,"142,213",39.11,32.65
San Francisco Police Department : Home,"211,583","175,261",0:00:57,"146,635",49.53,43.98
San Francisco Rent Board : Home,"203,756","139,381",0:01:37,"121,201",39.96,34.03
Mayor's Office of Housing and Community Development : Home,"166,035","129,977",0:01:35,"115,103",50.64,42.82
Mayor's Office of Housing and Community Development : Current Listings: Below Market Rate Ownership Units,"164,992","109,839",0:01:56,"80,176",57.92,41.75
City and County of San Francisco : Pet Details Page,"164,432","149,376",0:00:40,"9,246",65.92,19.12
Department of Public Works,"163,164","115,491",0:02:54,"90,257",79.69,58.8
San Francisco Port Department : Home,"152,025","65,887",0:00:23,"58,424",6.34,22.88
Employee Gateway | San Francisco,"139,586","86,654",0:08:41,"83,230",62.47,60.84
City and County of San Francisco : Minimum Wage Ordinance (MWO),"130,716","119,219",0:04:26,"113,437",90.58,86.59
Mayor's Office of Housing and Community Development : Below Market Rate (BMR) Affordable Rental Units Available,"129,540","86,916",0:01:52,"60,796",62.38,44.7
San Francisco Rent Board : Landlord & Tenant Information,"122,206","56,680",0:00:40,"27,833",48.1,17.84
Doing Business in San Francisco | Treasurer & Tax Collector,"117,753","76,259",0:01:05,"22,069",30.53,20.93
City and County of San Francisco : Adoption Center,"117,425","78,418",0:00:21,"35,580",12.36,13.44
San Francisco 311 : SF311,"117,379","98,041",0:00:55,"86,422",45,41.54
San Francisco Department of Human Resources : Search,"114,824","104,795",0:01:28,"30,709",55.54,33.21
City and County of San Francisco : Elections Home,"113,826","83,730",0:02:13,"74,956",55.33,50.57
File Online: Gross Receipts & Payroll Expense Tax | Treasurer & Tax Collector,"112,300","64,311",0:04:54,"15,143",46.03,39.59
Search | Treasurer & Tax Collector,"112,021","92,259",0:00:36,"2,185",46.27,9.67
Online Property Tax Payment - FAQ | Treasurer & Tax Collector,"108,975","84,719",0:02:16,"38,883",54.87,46.61
City and County of San Francisco : Marriage: Civil Ceremony,"108,099","80,147",0:01:55,"59,257",46.79,37.24
San Francisco Department of Human Resources : Employee Benefits,"107,176","92,751",0:03:30,"83,426",75.74,71.69
City and County of San Francisco : Dogs - Adoption Center,"106,603","59,244",0:00:43,"14,827",44.03,24.4
San Francisco Port Department : 2015 Cruise Schedule,"105,478","52,857",0:00:40,"43,658",20.9,41.21
Permit Services | Department of Building Inspection,"104,511","79,758",0:01:35,"53,446",47.8,45.86
City and County of San Francisco : Online Reservations,"102,732","88,400",0:04:12,"45,268",69.96,65.77
Property Taxes | Treasurer & Tax Collector,"102,337","76,418",0:00:20,"21,401",8.3,6.08
San Francisco Department of Human Resources : Eligible Lists Archive,"101,834","83,229",0:03:39,"29,984",72.13,61.39
Gross Receipts Tax and Business Registration Fees Ordinance | Treasurer & Tax Collector,"100,303","56,946",0:01:05,"18,373",23.45,12.49
San Francisco Public Works : Home,"98,986","84,257",0:01:02,"72,205",52.71,47.48
New Business Registration | Treasurer & Tax Collector,"97,550","63,061",0:02:46,"42,372",43.87,40.42
City and County of San Francisco : Contact Us,"97,239","78,295",0:01:50,"21,587",71.53,48.19
San Francisco Fire Department : Home,"97,105","75,539",0:00:58,"63,652",44.47,39.28
City and County of San Francisco : Marriage: General Information,"93,441","80,923",0:03:18,"47,468",57.65,49.81
City and County of San Francisco : Animal Care & Control,"92,890","71,081",0:00:46,"66,124",21.99,26.71
Business Registration | Treasurer & Tax Collector,"91,848","63,970",0:02:40,"37,148",49.65,40.4
City and County of San Francisco : Marriage,"90,040","48,574",0:00:18,"10,939",14.99,5.82
Board of Supervisors : Meeting Information,"89,997","48,572",0:01:28,"23,566",61.5,35.29
City and County of San Francisco : County Clerk,"89,493","66,434",0:00:34,"56,444",16.84,20.42
Office of the Mayor : Home,"89,003","73,120",0:01:10,"64,142",55.97,51.04
San Francisco Department of Human Resources : Classification and Compensation,"85,822","69,127",0:00:49,"19,719",47.3,22.17
Mayor's Office of Housing and Community Development : Affordable Housing Developments in San Francisco,"82,414","59,358",0:02:44,"41,681",65.87,52.52
2015 Quarterly Filing | Treasurer & Tax Collector,"82,146","53,913",0:04:37,"6,920",40.79,46.55
Instant Online Permit | Department of Building Inspection,"81,255","54,655",0:03:51,"28,829",49.91,50.43
Employee Gateway | SFGOV,"78,978","47,763",0:10:15,"46,263",23.12,59.43
San Francisco Police Department : Contact Us,"78,084","66,787",0:02:16,"41,259",78.83,67.56
City and County of San Francisco : City Hall,"77,306","57,859",0:00:55,"55,360",38.07,40.15
City and County of San Francisco : Marriage Information,"77,219","40,511",0:00:19,"11,183",14.07,6.07
San Francisco District Attorney : Home,"76,479","56,150",0:03:02,"49,960",57.51,51.07
City and County of San Francisco : Search,"74,886","69,063",0:00:59,"4,723",67.3,25.83
